"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2010",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"54,031,968","34,593,080","2,316,536","579,859","4,445,547","1,912,789","8,203,951","160,300","1,819,906","16,195,967","21,095,605"
Alabama,,,"1,012,056","560,885","37,057","10,531","89,755","43,165","216,038","4,226","50,399","258,366","354,555"
Alaska,,,"78,208","49,275","2,599","1,555","5,164","4,557","12,119",220,"2,719","24,958","25,133"
Arizona,,,"1,067,717","724,817","43,290","10,454","76,573","34,538","144,342","2,537","31,166","341,605","412,357"
Arkansas,,,"635,041","361,848","21,180","6,122","51,890","24,985","133,719","2,648","32,649","169,335","222,328"
California,,,"4,979,141","3,301,043","256,861","66,196","382,138","166,200","662,232","12,502","131,969","1,596,901","1,977,944"
Colorado,,,"693,341","465,625","30,971","6,593","53,330","22,694","94,404","1,381","18,343","221,294","271,460"
Connecticut,,,"622,167","437,382","20,313","6,742","43,106","19,326","77,298",944,"17,056","197,651","267,626"
Delaware,,,"172,441","115,978","5,553","1,396","12,135","5,748","25,925",280,"5,426","52,255","67,570"
District of Columbia,,,"74,417","48,173","1,723",826,"5,283","3,731","12,843",35,"1,803","21,377","30,505"
Florida,,,"3,784,225","2,617,763","151,058","38,102","276,138","107,433","488,461","8,384","96,886","1,224,676","1,528,118"
Georgia,,,"1,468,209","913,305","47,372","16,289","117,633","65,703","248,887","4,216","54,804","400,917","543,556"
Hawaii,,,"227,914","166,828","7,836","3,465","15,525","6,369","22,686",416,"4,789","75,377","96,472"
Idaho,,,"269,293","177,043","11,924","2,741","20,126","8,716","38,716",883,"9,144","85,584","100,219"
Illinois,,,"2,033,345","1,336,527","82,912","23,204","174,200","76,231","274,692","4,757","60,822","618,818","830,166"
Indiana,,,"1,191,768","756,433","45,009","11,329","99,180","45,714","186,817","3,458","43,828","340,619","461,905"
Iowa,,,"584,113","396,969","25,128","5,246","51,239","18,146","71,549","1,064","14,772","183,340","247,344"
Kansas,,,"488,765","322,703","18,535","4,489","40,179","17,436","69,044",919,"15,460","148,741","198,849"
Kentucky,,,"894,473","475,681","38,406","7,998","85,108","35,296","199,732","5,599","46,653","230,344","304,151"
Louisiana,,,"790,617","414,008","46,392","9,473","93,272","43,355","142,796","4,523","36,798","213,994","282,508"
Maine,,,"299,875","185,849","10,965","2,662","22,473","8,287","55,525",913,"13,201","88,021","111,161"
Maryland,,,"850,361","573,774","29,650","8,110","65,556","33,582","115,898","1,121","22,670","258,853","352,296"
Massachusetts,,,"1,140,830","739,823","38,580","11,191","81,322","33,854","187,321","2,022","46,717","341,066","464,367"
Michigan,,,"1,964,862","1,231,331","83,409","21,733","162,779","70,643","314,926","6,343","73,698","562,220","739,041"
Minnesota,,,"882,408","604,090","34,859","7,833","67,341","25,831","115,780","1,262","25,412","279,749","360,943"
Mississippi,,,"596,637","328,311","18,543","7,510","51,432","30,839","125,555","2,690","31,757","149,028","206,106"
Missouri,,,"1,166,223","725,690","41,538","10,716","94,195","43,734","202,465","3,270","44,615","334,020","442,683"
Montana,,,"192,701","128,616","8,464","2,022","15,650","6,382","26,077",550,"4,940","62,787","73,246"
Nebraska,,,"308,790","208,052","12,925","2,782","26,264","9,838","39,846",511,"8,572","97,476","130,521"
Nevada,,,"408,113","283,229","13,723","4,119","26,664","12,907","55,858",764,"10,849","137,647","149,877"
New Hampshire,,,"254,752","167,720","7,426","2,020","15,956","6,751","42,504",496,"11,879","76,806","96,552"
New Jersey,,,"1,472,335","1,017,596","51,068","16,057","109,435","46,755","185,970","3,163","42,291","453,150","629,652"
New Mexico,,,"360,242","223,015","17,459","3,952","28,839","14,644","58,641","1,243","12,449","108,800","131,801"
New York,,,"3,280,575","2,148,469","128,190","41,076","244,220","103,488","490,662","9,573","114,897","967,388","1,335,348"
North Carolina,,,"1,757,135","1,125,816","48,436","15,807","125,013","62,907","310,399","4,759","63,998","487,875","665,233"
North Dakota,,,"120,098","78,486","7,054","1,083","13,064","3,998","13,570",190,"2,653","39,278","51,443"
Ohio,,,"2,124,650","1,322,265","108,284","19,825","211,503","77,606","313,105","6,116","65,946","632,715","843,932"
Oklahoma,,,"705,364","430,842","28,001","6,823","62,175","28,919","120,235","2,503","25,866","203,161","266,297"
Oregon,,,"712,216","486,588","28,745","7,548","53,660","19,153","97,786","1,900","16,836","225,507","279,328"
Pennsylvania,,,"2,577,714","1,675,278","105,001","22,747","228,505","81,546","372,365","7,241","85,031","763,713","1,061,129"
Rhode Island,,,"203,660","135,197","5,104","2,022","13,186","5,801","34,381",343,"7,626","58,971","83,273"
South Carolina,,,"924,726","581,505","26,685","8,947","69,992","35,484","164,930","2,796","34,387","257,063","339,797"
South Dakota,,,"153,508","104,473","7,080","1,322","13,839","5,308","17,722",228,"3,536","50,727","63,746"
Tennessee,,,"1,251,947","756,708","45,092","11,962","104,318","49,539","230,168","4,645","49,515","343,831","459,581"
Texas,,,"3,440,442","2,077,693","185,276","38,299","324,092","145,343","528,238","13,140","128,361","1,028,050","1,294,241"
Utah,,,"324,136","211,918","16,767","4,108","23,030","14,736","41,919",794,"10,864","102,562","124,877"
Vermont,,,"128,619","83,840","4,502","1,395","9,296","3,575","20,774",262,"4,975","39,231","48,992"
Virginia,,,"1,284,823","829,110","48,356","12,450","102,415","44,809","199,923","3,765","43,995","378,302","506,616"
Washington,,,"1,089,887","727,956","47,027","11,179","80,008","31,531","159,689","2,422","30,075","344,194","423,862"
West Virginia,,,"443,911","231,811","24,920","4,216","48,485","16,809","93,663","4,002","20,005","118,148","154,671"
Wisconsin,,,"1,061,501","716,806","37,591","10,309","81,266","33,125","146,516","2,179","33,709","325,581","424,384"
Wyoming,,,"91,019","61,832","3,737",800,"7,136","3,300","11,804",201,"2,209","30,141","34,902"
Outlying areas,,,,,,,,,,,,,
