"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2008",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s a,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"50,898,244","32,273,651","2,370,611","525,197","4,541,467","1,914,524","7,426,691","154,230","1,691,873","15,385,598","20,433,159"
Alabama,,,"952,511","522,664","38,707","9,867","92,620","43,375","194,031","4,214","47,033","246,197","345,683"
Alaska,,,"71,145","43,862","2,586","1,330","5,076","4,563","10,964",224,"2,540","22,511","23,199"
Arizona,,,"986,539","657,423","43,963","8,894","75,909","34,377","133,638","2,412","29,923","317,361","388,522"
Arkansas,,,"602,017","340,779","22,589","5,742","53,484","24,591","122,212","2,632","29,988","162,556","216,692"
California,,,"4,678,517","3,050,367","255,647","59,254","385,537","168,675","617,803","11,924","129,310","1,503,139","1,892,921"
Colorado,,,"635,816","419,821","31,860","5,555","53,469","22,497","84,311","1,270","17,033","204,419","256,219"
Connecticut,,,"599,533","417,204","21,026","6,003","44,871","19,613","72,930",937,"16,949","190,019","263,247"
Delaware,,,"161,314","107,029","5,842","1,278","12,432","5,673","23,646",290,"5,124","49,345","64,540"
District of Columbia,,,"71,468","46,132","1,794",790,"5,723","4,027","11,245",47,"1,710","20,720","30,118"
Florida,,,"3,547,492","2,441,147","155,154","33,765","279,367","106,508","434,235","7,824","89,492","1,162,615","1,472,227"
Georgia,,,"1,347,932","824,603","47,911","14,560","118,114","65,882","222,208","4,004","50,650","369,958","514,357"
Hawaii,,,"212,890","154,183","8,092","3,195","15,568","6,334","20,739",397,"4,382","70,462","91,166"
Idaho,,,"247,847","160,845","12,349","2,396","20,169","8,473","34,594",826,"8,195","79,847","94,694"
Illinois,,,"1,948,578","1,270,660","85,497","21,773","179,552","77,129","251,483","4,490","57,994","596,554","817,775"
Indiana,,,"1,121,662","709,931","47,162","10,098","101,775","44,939","165,209","3,095","39,453","326,269","452,097"
Iowa,,,"563,610","378,386","27,877","4,574","54,037","17,999","65,571","1,084","14,082","178,848","246,012"
Kansas,,,"464,699","305,858","20,101","3,995","41,675","16,962","61,386",906,"13,816","143,728","196,009"
Kentucky,,,"844,573","444,208","40,134","7,379","87,403","34,669","181,616","5,545","43,619","219,738","297,507"
Louisiana,,,"748,171","386,309","47,668","8,888","95,478","43,121","128,161","4,657","33,889","204,762","275,628"
Maine,,,"286,123","174,027","11,637","2,343","23,055","8,320","52,749",930,"13,062","83,969","108,684"
Maryland,,,"802,066","535,477","30,961","7,563","68,309","34,392","103,169","1,108","21,087","245,582","340,395"
Massachusetts,,,"1,094,012","706,674","39,885","10,224","84,458","33,836","172,992","2,061","43,882","328,057","457,753"
Michigan,,,"1,840,547","1,151,127","87,000","19,807","166,636","71,360","273,884","5,702","65,031","538,441","722,498"
Minnesota,,,"831,763","563,356","37,401","6,719","70,175","25,610","103,993","1,275","23,234","265,964","350,586"
Mississippi,,,"567,786","307,373","19,427","7,183","52,857","31,212","116,351","2,700","30,683","142,258","201,662"
Missouri,,,"1,106,923","685,224","44,154","9,561","97,406","43,656","182,093","3,164","41,665","320,792","434,531"
Montana,,,"180,802","118,393","8,951","1,826","16,222","6,335","23,857",523,"4,695","59,081","70,863"
Nebraska,,,"297,811","198,576","14,155","2,499","27,453","9,846","36,489",539,"8,254","94,442","129,145"
Nevada,,,"374,289","256,073","13,649","3,661","26,243","12,866","50,982",717,"10,098","127,608","139,965"
New Hampshire,,,"237,498","155,499","7,588","1,753","16,283","6,916","38,133",473,"10,853","72,248","92,783"
New Jersey,,,"1,407,621","969,546","51,583","14,488","112,705","47,403","169,799","3,032","39,065","437,393","617,477"
New Mexico,,,"335,471","204,134","18,017","3,611","29,227","14,569","53,194","1,285","11,434","102,024","125,533"
New York,,,"3,143,642","2,045,688","129,234","38,313","252,839","105,343","453,325","9,541","109,359","934,128","1,309,257"
North Carolina,,,"1,631,266","1,031,806","50,082","13,926","127,252","62,573","281,498","4,511","59,618","456,090","634,818"
North Dakota,,,"117,130","75,205","7,895",944,"13,838","3,908","12,540",203,"2,597","38,457","51,241"
Ohio,,,"2,021,874","1,253,289","113,966","18,354","218,560","76,718","275,456","5,544","59,987","614,877","837,987"
Oklahoma,,,"669,673","405,818","29,714","5,962","64,032","28,098","109,792","2,365","23,892","194,865","259,866"
Oregon,,,"659,719","446,993","29,658","6,374","54,299","19,147","86,444","1,682","15,122","211,579","267,269"
Pennsylvania,,,"2,481,695","1,600,882","111,338","21,058","239,399","82,371","339,380","7,097","80,170","745,050","1,055,877"
Rhode Island,,,"196,161","129,706","5,350","1,725","13,719","5,849","32,155",365,"7,292","56,975","82,587"
South Carolina,,,"850,368","527,696","27,215","8,117","70,094","35,624","147,288","2,520","31,814","237,070","321,340"
South Dakota,,,"146,991","98,307","7,927","1,181","14,426","5,230","16,284",245,"3,391","48,671","62,675"
Tennessee,,,"1,168,699","697,706","46,763","10,755","106,469","49,482","207,678","4,404","45,442","323,663","443,111"
Texas,,,"3,192,227","1,906,635","183,622","34,467","325,841","144,365","470,493","12,601","114,203","959,627","1,231,432"
Utah,,,"299,088","193,781","16,845","3,562","22,777","14,180","37,238",763,"9,942","95,824","118,056"
Vermont,,,"120,249","77,552","4,740","1,278","9,567","3,601","18,693",284,"4,534","36,985","47,025"
Virginia,,,"1,207,101","765,139","49,395","11,268","104,967","45,384","185,112","3,841","41,995","355,637","484,853"
Washington,,,"1,008,804","667,631","47,666","9,570","80,505","31,109","142,746","2,256","27,321","321,399","401,923"
West Virginia,,,"429,613","219,004","25,692","3,965","50,571","16,742","89,682","3,981","19,976","114,444","153,679"
Wisconsin,,,"1,000,788","674,138","40,460","8,998","84,267","32,830","128,745","1,928","29,422","312,393","415,492"
Wyoming,,,"85,755","57,360","3,921",689,"7,321","3,328","10,878",189,"2,069","28,488","33,633"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"5,676","1,727",210,373,582,909,"1,133",59,683,982,"1,067"
,Guam,,"13,350","7,140","1,030",542,"1,277","1,322","1,386",59,594,"3,996","4,085"
,"Northern Mariana
   Islands",,"2,333","1,046",116,256,276,347,211,6,75,591,502
,Puerto Rico,,"749,490","363,565","57,737","13,568","80,483","34,868","150,155","8,803","40,311","198,900","246,306"
,U.S. Virgin Islands,,"17,963","12,041",895,490,"1,264",986,"1,728",61,498,"5,698","6,542"
Foreign countries,,,"509,563","306,906","78,773","8,888","83,554","14,482","12,984",635,"3,341","202,302","232,048"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
CONTACT:  Jennie Park (410) 965-9358 or oasdi.sc@ssa.gov.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2008
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2008/",,,,,,,,,,,,,
