"Table 1.
Beneficiaries as a percentage of the total resident population and of the population aged 65 or older, by state, December 2016",,,,,
State,,Total population,,Population aged 65 or older,
,,"Number a
(thousands)","Percentage
receiving benefits","Number a
(thousands)","Percentage
receiving benefits"
,United States,"323,128",18.8,"49,244",90.4
Alabama,,"4,863",23.0,785,92.1
Alaska,,742,12.9,77,87.3
Arizona,,"6,931",18.4,"1,171",82.5
Arkansas,,"2,988",22.9,487,92.0
California,,"39,250",14.7,"5,347",82.3
Colorado,,"5,541",15.0,744,85.2
Connecticut,,"3,576",18.6,577,89.6
Delaware,,952,21.2,167,90.5
District of Columbia,,681,11.9,79,74.0
Florida,,"20,612",21.5,"4,095",82.2
Georgia,,"10,310",17.0,"1,355",89.2
Hawaii,,"1,429",18.3,244,86.1
Idaho,,"1,683",19.3,255,93.6
Illinois,,"12,802",17.2,"1,871",87.8
Indiana,,"6,633",19.9,992,94.0
Iowa,,"3,135",20.1,514,93.6
Kansas,,"2,907",18.4,437,90.8
Kentucky,,"4,437",21.9,691,90.7
Louisiana,,"4,682",18.8,674,86.9
Maine,,"1,331",25.1,258,92.0
Maryland,,"6,016",16.1,876,83.2
Massachusetts,,"6,812",18.3,"1,074",85.4
Michigan,,"9,928",21.8,"1,612",94.0
Minnesota,,"5,520",18.0,832,91.4
Mississippi,,"2,989",21.9,451,92.8
Missouri,,"6,093",20.8,978,90.8
Montana,,"1,043",21.4,185,90.6
Nebraska,,"1,907",17.6,287,90.0
Nevada,,"2,940",17.2,441,85.8
New Hampshire,,"1,335",22.0,227,93.6
New Jersey,,"8,944",17.9,"1,373",89.2
New Mexico,,"2,081",20.0,342,86.4
New York,,"19,745",18.0,"3,033",86.9
North Carolina,,"10,147",19.9,"1,569",91.2
North Dakota,,758,16.9,110,90.9
Ohio,,"11,614",19.9,"1,887",88.4
Oklahoma,,"3,924",19.6,590,91.1
Oregon,,"4,093",20.4,689,91.8
Pennsylvania,,"12,784",21.7,"2,224",91.8
Rhode Island,,"1,056",20.9,174,91.4
South Carolina,,"4,961",22.0,830,92.3
South Dakota,,865,19.8,139,96.0
Tennessee,,"6,651",21.2,"1,047",92.4
Texas,,"27,863",14.4,"3,353",86.6
Utah,,"3,051",12.6,321,88.9
Vermont,,625,23.2,113,94.3
Virginia,,"8,412",17.5,"1,229",88.2
Washington,,"7,288",17.7,"1,081",89.7
West Virginia,,"1,831",25.7,344,91.2
Wisconsin,,"5,779",20.6,928,94.9
Wyoming,,586,18.2,88,90.9
,,,,,
,,,,,
"SOURCES: Social Security Administration, Master Beneficiary Record, 100 percent data; U.S. Postal Service geographic data; and Census Bureau, Population Division, 2016 estimates of resident population.",,,,,
a.,"Population estimates for the United States as of July 1, 2016, as reported by the Census Bureau.",,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,
,,,,,
"File available from:
U.S. Social Security Administration • Office of Retirement and Disability Policy • Office of Research, Evaluation, and Statistics
OASDI Beneficiaries by State and County, 2016
https://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2016/",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
