"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of
beneficiaries aged 65 or older, December 2006 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers a,Spouses,Children,Widow(er)s b,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"46,938,032","32,351,857","1,282,859","253,820","4,576,981","1,298,187","6,655,048","39,563","479,716","17,295,378","17,675,836"
Alabama,,,"829,345","504,923","21,279","4,990","86,356","27,750","169,700","1,116","13,231","268,927","285,033"
Alaska,,,"60,556","40,207","1,305",553,"4,718","3,137","9,886",55,695,"22,955","18,166"
Arizona,,,"923,845","658,668","24,444","4,165","77,590","22,603","127,070",640,"8,664","358,232","332,634"
Arkansas,,,"509,093","320,568","11,970","2,674","48,995","15,170","101,514",606,"7,595","171,978","175,350"
California,,,"4,325,913","3,040,374","132,241","27,580","397,274","118,157","568,019","3,029","39,240","1,664,337","1,646,453"
Colorado,,,"572,275","402,730","17,782","2,627","54,370","15,616","73,843",331,"4,976","223,344","210,239"
Connecticut,,,"623,902","466,733","13,267","3,276","51,560","15,206","68,444",225,"5,191","239,931","257,532"
Delaware,,,"156,827","111,252","3,558",688,"13,370","4,018","22,273",79,"1,588","58,067","57,895"
District of Columbia,,,"59,989","41,716","1,006",370,"5,116","2,413","8,913",13,439,"20,477","24,984"
Florida,,,"3,333,059","2,443,283","85,375","16,199","288,358","71,712","399,013","2,081","27,038","1,312,725","1,273,611"
Georgia,,,"1,178,611","779,716","26,211","6,896","109,703","42,789","197,933",971,"14,391","398,519","421,970"
Hawaii,,,"197,311","151,357","4,122","1,574","15,035","4,487","19,334",103,"1,298","75,782","80,054"
Idaho,,,"219,561","153,289","6,777","1,146","20,400","5,774","29,900",192,"2,084","86,266","76,542"
Illinois,,,"1,903,902","1,340,463","49,803","10,897","197,007","55,212","232,133","1,186","17,202","709,086","755,642"
Indiana,,,"1,082,793","751,534","28,383","5,258","109,390","31,045","145,658",810,"10,714","392,139","413,579"
Iowa,,,"536,138","385,097","16,500","2,205","57,849","12,422","57,921",256,"3,889","207,850","216,288"
Kansas,,,"447,830","319,562","12,282","1,983","45,470","11,692","52,863",230,"3,749","171,342","178,046"
Kentucky,,,"720,189","420,432","20,790","3,382","80,489","21,449","160,212","1,517","11,918","233,234","239,353"
Louisiana,,,"628,891","363,002","25,172","4,102","88,381","26,025","111,671","1,301","9,238","218,818","214,410"
Maine,,,"244,004","161,752","6,367","1,068","22,380","5,612","43,334",220,"3,271","88,283","86,687"
Maryland,,,"766,978","546,054","18,229","3,976","71,927","24,625","95,224",335,"6,608","281,011","304,681"
Massachusetts,,,"1,041,553","730,983","23,331","5,044","90,958","25,070","153,275",512,"12,380","383,667","414,469"
Michigan,,,"1,821,467","1,243,521","52,608","10,541","182,502","52,457","259,426","1,577","18,836","657,345","668,400"
Minnesota,,,"781,321","564,986","21,654","3,356","74,203","18,628","91,879",317,"6,298","302,605","300,888"
Mississippi,,,"475,427","286,499","10,246","3,296","46,480","18,856","100,921",654,"8,475","149,453","161,707"
Missouri,,,"1,013,629","683,041","25,185","4,732","99,220","28,542","160,490",811,"11,607","362,857","375,176"
Montana,,,"159,541","111,411","4,877",868,"16,473","4,121","20,424",127,"1,240","62,703","57,510"
Nebraska,,,"279,236","199,888","8,272","1,230","29,316","6,739","31,398",120,"2,274","108,317","112,660"
Nevada,,,"349,512","252,809","7,381","1,705","26,729","8,907","48,734",203,"3,045","140,196","119,683"
New Hampshire,,,"224,748","159,671","4,586",919,"17,332","5,171","33,983",111,"2,975","84,402","81,966"
New Jersey,,,"1,478,656","1,092,872","30,306","7,764","127,096","36,860","169,507",818,"13,434","554,087","609,320"
New Mexico,,,"282,986","188,112","9,112","1,611","27,073","8,615","45,067",339,"3,056","105,296","98,118"
New York,,,"3,109,962","2,205,632","71,775","19,511","271,175","77,944","428,503","2,496","32,927","1,113,094","1,239,353"
North Carolina,,,"1,459,551","997,679","27,993","6,788","117,798","40,488","250,523","1,041","17,241","497,246","533,416"
North Dakota,,,"103,624","71,155","4,263",449,"13,933","2,621","10,505",53,645,"41,266","41,446"
Ohio,,,"1,906,564","1,289,097","66,276","9,459","231,060","52,086","241,011","1,554","16,021","719,308","734,331"
Oklahoma,,,"595,108","396,122","16,380","2,896","62,728","17,705","92,631",583,"6,063","213,346","219,587"
Oregon,,,"619,944","446,668","17,042","2,994","57,270","13,541","77,577",452,"4,399","238,751","231,690"
Pennsylvania,,,"2,416,233","1,690,363","66,560","11,125","259,324","58,269","306,562","1,869","22,161","892,261","962,424"
Rhode Island,,,"186,982","134,157","3,105",836,"14,591","4,128","28,079",91,"1,996","66,936","75,578"
South Carolina,,,"752,077","503,672","15,135","3,974","63,666","23,167","132,248",615,"9,599","256,583","264,072"
South Dakota,,,"127,535","91,011","4,271",516,"14,036","3,257","13,508",59,877,"51,089","49,492"
Tennessee,,,"1,030,141","673,960","25,878","5,373","100,247","31,543","179,586","1,086","12,469","352,524","369,156"
Texas,,,"2,785,617","1,836,926","95,178","15,621","314,264","93,580","397,751","3,064","29,233","1,041,504","1,003,566"
Utah,,,"271,195","192,393","9,638","1,699","23,764","9,643","31,295",192,"2,571","108,993","97,202"
Vermont,,,"108,882","76,802","2,684",590,"9,712","2,563","15,337",64,"1,129","40,928","40,234"
Virginia,,,"1,102,337","750,337","27,496","5,550","102,469","31,499","171,072","1,089","12,826","392,125","410,361"
Washington,,,"964,904","685,382","27,894","4,905","86,184","22,643","129,107",637,"8,151","371,009","354,035"
West Virginia,,,"387,993","219,729","13,898","2,024","49,480","10,657","85,217","1,168","5,819","127,644","129,760"
Wisconsin,,,"961,083","696,339","24,150","4,670","91,164","23,233","113,249",475,"7,801","366,769","370,970"
Wyoming,,,"80,096","57,245","2,278",341,"7,744","2,181","9,646",58,604,"32,205","28,539"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"2,943","1,100",62,123,320,369,831,11,127,684,563
,Guam,,"7,734","4,623",334,180,778,623,"1,060",9,127,"2,862","2,174"
,"Northern Mariana
   Islands",,"1,080",564,33,61,122,157,128,1,15,375,224
,Puerto Rico,,"457,351","240,373","18,517","4,583","48,993","16,798","117,033","1,824","9,230","142,261","133,674"
,U.S. Virgin Islands,,"13,758","9,924",373,206,966,542,"1,596",21,130,"5,106","4,605"
Foreign countries,,,"256,254","164,100","17,227","2,667","52,073","8,072","11,032",168,914,"106,282","110,340"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,Includes special age-72 beneficiaries.,,,,,,,,,,,,
b.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
CONTACT:  Jennie Park (410) 965-9358 or oasdi.sc@ssa.gov.,,,,,,,,,,,,,
"File available from:
U.S. Social Security Administration, Office of Policy
OASDI Beneficiaries by State and County, 2006
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2006/",,,,,,,,,,,,,
