"Table 2.
Number of beneficiaries with benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2007",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s a,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"49,864,838","31,527,728","2,432,082","494,296","4,602,812","1,891,706","7,098,723","152,802","1,664,689","14,999,200","20,119,815"
Alabama,,,"934,770","511,245","40,044","9,672","94,203","42,771","186,043","4,213","46,579","239,654","340,840"
Alaska,,,"68,853","41,850","2,620","1,296","5,099","4,655","10,622",226,"2,485","21,395","22,175"
Arizona,,,"959,520","633,976","44,683","8,182","76,100","34,068","130,036","2,367","30,108","306,608","376,900"
Arkansas,,,"588,910","333,546","23,750","5,525","54,626","24,289","115,806","2,600","28,768","158,583","214,020"
California,,,"4,571,486","2,966,083","257,790","55,887","389,026","168,337","593,492","11,649","129,222","1,462,600","1,858,009"
Colorado,,,"616,232","404,472","32,756","5,005","53,909","21,945","80,205","1,246","16,694","196,997","249,472"
Connecticut,,,"592,533","411,840","21,706","5,529","45,721","19,283","70,584",937,"16,933","186,294","260,959"
Delaware,,,"157,239","103,584","5,970","1,223","12,530","5,574","22,843",294,"5,221","47,722","62,802"
District of Columbia,,,"71,215","45,885","1,888",807,"5,974","4,223","10,732",48,"1,658","20,625","30,208"
Florida,,,"3,477,190","2,381,491","158,752","32,264","282,125","105,912","418,498","7,954","90,194","1,135,531","1,443,903"
Georgia,,,"1,305,181","792,398","48,920","13,638","118,629","65,220","212,401","3,936","50,039","354,305","499,861"
Hawaii,,,"207,992","149,938","8,300","3,096","15,601","6,309","19,938",408,"4,402","68,534","89,207"
Idaho,,,"240,070","154,957","12,646","2,147","20,325","8,355","32,867",795,"7,978","76,635","92,105"
Illinois,,,"1,921,996","1,251,647","88,131","20,472","183,357","76,111","240,685","4,366","57,227","585,586","812,367"
Indiana,,,"1,097,739","695,649","48,982","9,200","103,235","43,465","155,901","2,998","38,309","319,018","446,747"
Iowa,,,"558,541","373,648","29,733","4,043","55,430","17,259","63,349","1,058","14,021","176,770","245,662"
Kansas,,,"457,826","301,888","21,287","3,607","42,678","16,610","57,676",893,"13,187","141,787","195,231"
Kentucky,,,"827,346","433,528","41,445","6,983","88,722","33,735","174,341","5,590","43,002","214,150","293,521"
Louisiana,,,"735,263","378,666","48,898","8,628","96,724","42,611","121,444","4,767","33,525","200,549","272,141"
Maine,,,"280,342","170,502","12,202","2,110","23,320","8,077","50,499",928,"12,704","81,736","107,049"
Maryland,,,"786,407","523,329","32,168","7,247","69,426","34,453","98,060","1,100","20,624","239,701","334,890"
Massachusetts,,,"1,080,847","698,950","41,439","9,474","86,283","33,366","166,198","2,101","43,036","322,637","455,694"
Michigan,,,"1,802,700","1,124,614","89,572","18,474","169,305","70,921","260,390","5,604","63,820","525,409","713,093"
Minnesota,,,"814,960","549,298","39,322","6,005","71,622","25,065","99,717","1,267","22,664","258,813","345,399"
Mississippi,,,"559,344","301,166","20,203","6,890","53,781","31,155","112,598","2,753","30,798","138,710","199,085"
Missouri,,,"1,089,782","673,508","46,232","8,790","99,359","42,832","174,559","3,170","41,332","314,234","430,817"
Montana,,,"176,539","115,021","9,349","1,710","16,464","6,183","22,705",517,"4,590","57,363","69,402"
Nebraska,,,"295,459","196,387","15,117","2,306","28,169","9,646","34,922",550,"8,362","93,195","129,035"
Nevada,,,"362,534","246,817","13,811","3,386","26,163","12,738","49,006",698,"9,915","123,135","135,433"
New Hampshire,,,"231,819","151,473","7,906","1,563","16,470","6,699","36,482",507,"10,719","70,139","90,773"
New Jersey,,,"1,388,380","955,202","52,760","13,385","114,947","47,012","163,421","2,967","38,686","429,611","612,323"
New Mexico,,,"327,219","197,848","18,470","3,459","29,561","14,415","50,689","1,327","11,450","98,938","122,728"
New York,,,"3,097,330","2,017,031","131,805","36,416","257,410","104,794","433,321","9,569","106,984","917,169","1,297,328"
North Carolina,,,"1,587,350","998,365","51,862","12,967","128,304","61,709","270,824","4,343","58,976","439,354","619,137"
North Dakota,,,"116,418","74,399","8,366",854,"14,178","3,883","12,060",205,"2,473","38,049","51,130"
Ohio,,,"1,992,152","1,233,794","118,718","17,164","222,808","75,020","261,096","5,441","58,111","604,989","834,704"
Oklahoma,,,"657,878","399,475","31,130","5,634","65,181","27,369","103,749","2,331","23,009","191,256","257,365"
Oregon,,,"643,251","434,028","30,795","5,708","54,753","18,906","82,612","1,688","14,761","205,440","261,860"
Pennsylvania,,,"2,456,196","1,582,886","116,052","19,917","245,281","81,214","324,948","7,196","78,702","734,621","1,050,978"
Rhode Island,,,"193,783","128,522","5,596","1,580","14,005","5,706","30,859",371,"7,144","56,255","82,444"
South Carolina,,,"822,377","507,282","27,983","7,649","70,106","35,147","140,472","2,476","31,262","226,791","311,458"
South Dakota,,,"144,993","96,367","8,451","1,122","14,746","5,105","15,645",242,"3,315","47,775","62,021"
Tennessee,,,"1,139,632","676,808","48,043","10,186","107,686","49,131","198,708","4,350","44,720","312,832","433,974"
Texas,,,"3,102,890","1,852,323","186,493","32,905","328,454","142,592","439,494","12,148","108,481","929,824","1,204,234"
Utah,,,"290,128","187,950","17,120","3,315","22,835","13,832","34,726",731,"9,619","92,448","114,574"
Vermont,,,"117,296","75,624","4,934","1,138","9,709","3,545","17,733",277,"4,336","35,780","46,170"
Virginia,,,"1,180,114","742,755","50,768","10,439","106,060","44,824","179,229","3,881","42,158","344,115","474,510"
Washington,,,"982,948","647,342","49,055","8,813","81,159","30,601","136,709","2,263","27,006","310,570","392,267"
West Virginia,,,"424,614","215,536","26,385","3,919","51,678","16,381","86,803","3,931","19,981","112,440","153,150"
Wisconsin,,,"980,454","660,364","42,489","8,085","85,736","32,004","121,775","1,895","28,106","305,575","410,934"
Wyoming,,,"84,022","56,103","4,103",629,"7,400","3,156","10,332",206,"2,093","27,714","33,171"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"5,613","1,683",205,397,555,898,"1,112",65,698,956,"1,035"
,Guam,,"12,982","6,888","1,036",573,"1,229","1,340","1,299",53,564,"3,899","3,961"
,"Northern Mariana
   Islands",,"2,308",997,122,249,291,370,200,6,73,589,499
,Puerto Rico,,"733,326","353,387","57,213","13,719","80,764","35,730","143,784","8,603","40,126","193,959","240,221"
,U.S. Virgin Islands,,"17,260","11,443",886,474,"1,239",967,"1,672",65,514,"5,408","6,147"
Foreign countries,,,"493,289","295,970","75,620","8,441","82,361","14,188","12,852",632,"3,225","194,428","224,692"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
CONTACT:  Jennie Park (410) 965-9358 or oasdi.sc@ssa.gov.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
U.S. Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2007
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2007/",,,,,,,,,,,,,
