"Table 1.
Beneficiaries as a percentage of the total resident population and of the population aged 65 or older,
by state, December 2005",,,,,
State,,Total population,,Population aged 65 or older,
,,"Number a
(thousands)","Percentage receiving
benefits","Number a
(thousands)","Percentage receiving
benefits"
,United States,"296,410",15.9,"36,790",90.3
Alabama,,"4,558",19.8,604,93.0
Alaska,,664,9.8,44,91.2
Arizona,,"5,939",15.5,758,85.7
Arkansas,,"2,779",20.4,384,93.6
California,,"36,132",12.4,"3,869",83.5
Colorado,,"4,665",12.5,465,90.6
Connecticut,,"3,510",16.7,474,93.2
Delaware,,844,17.8,112,93.1
District of Columbia,,551,13.0,67,76.3
Florida,,"17,790",19.3,"2,993",84.4
Georgia,,"9,073",13.6,870,91.8
Hawaii,,"1,275",15.7,175,87.4
Idaho,,"1,429",15.8,164,96.6
Illinois,,"12,763",14.8,"1,530",89.7
Indiana,,"6,272",17.0,778,95.4
Iowa,,"2,966",18.6,435,95.8
Kansas,,"2,745",16.5,357,93.3
Kentucky,,"4,173",19.1,526,93.1
Louisiana,,"4,524",15.8,532,87.0
Maine,,"1,322",20.5,193,94.5
Maryland,,"5,600",13.8,645,86.8
Massachusetts,,"6,399",16.7,853,90.5
Michigan,,"10,121",17.3,"1,258",95.4
Minnesota,,"5,133",15.3,623,93.5
Mississippi,,"2,921",18.8,358,91.7
Missouri,,"5,800",18.3,773,93.8
Montana,,936,18.1,129,93.9
Nebraska,,"1,759",16.6,234,93.9
Nevada,,"2,415",14.3,273,89.3
New Hampshire,,"1,310",16.9,163,94.5
New Jersey,,"8,718",15.8,"1,129",90.9
New Mexico,,"1,928",16.2,235,89.7
New York,,"19,255",15.9,"2,515",86.8
North Carolina,,"8,683",17.4,"1,054",94.8
North Dakota,,637,18.0,94,94.3
Ohio,,"11,464",17.1,"1,529",92.4
Oklahoma,,"3,548",17.9,469,93.1
Oregon,,"3,641",17.0,470,95.2
Pennsylvania,,"12,430",19.5,"1,893",93.2
Rhode Island,,"1,076",17.9,150,92.4
South Carolina,,"4,255",18.3,535,93.9
South Dakota,,776,18.1,111,96.4
Tennessee,,"5,963",18.3,750,94.6
Texas,,"22,860",12.9,"2,272",89.5
Utah,,"2,470",11.1,216,90.6
Vermont,,623,18.0,82,95.9
Virginia,,"7,567",15.1,865,90.7
Washington,,"6,288",14.9,721,92.8
West Virginia,,"1,817",22.8,278,93.3
Wisconsin,,"5,536",17.2,722,96.7
Wyoming,,509,16.0,62,94.6
,,,,,
,,,,,
"SOURCES:  Social Security Administration, Master Beneficiary Record, 100 percent data; U.S. Census Bureau, Population Division, 2005 estimates of resident population.",,,,,
a.,"Population estimates for the United States as of July 1, 2005, as reported by the U.S. Census Bureau.",,,,
,,,,,
"File available from:
Social Security Administration, Office of Policy
OASDI Beneficiaries by State and County, 2005
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2005/",,,,,
