"Table 1.
Beneficiaries as a percentage of the total resident population and of the population aged 65 or older, by state, December 2012",,,,,
State,,Total population,,Population aged 65 or older,
,,"Number a
(thousands)","Percentage
receiving benefits","Number a
(thousands)","Percentage
receiving benefits"
,United States,"313,914",18.1,"43,145",91.8
Alabama,,"4,822",22.0,699,92.6
Alaska,,731,11.6,62,88.9
Arizona,,"6,553",17.4,972,84.5
Arkansas,,"2,949",22.3,443,92.7
California,,"38,041",13.9,"4,600",83.5
Colorado,,"5,188",14.4,613,88.1
Connecticut,,"3,590",17.8,533,90.9
Delaware,,917,19.9,140,92.4
District of Columbia,,632,12.2,72,74.6
Florida,,"19,318",20.7,"3,510",83.8
Georgia,,"9,920",15.9,"1,140",90.5
Hawaii,,"1,392",17.3,211,87.3
Idaho,,"1,596",18.1,213,94.7
Illinois,,"12,875",16.3,"1,694",89.3
Indiana,,"6,537",19.0,889,94.9
Iowa,,"3,074",19.5,470,94.6
Kansas,,"2,886",17.6,394,91.9
Kentucky,,"4,380",21.2,615,91.9
Louisiana,,"4,602",18.0,595,88.1
Maine,,"1,329",23.7,226,93.6
Maryland,,"5,885",15.2,763,85.2
Massachusetts,,"6,646",17.8,958,87.8
Michigan,,"9,883",20.9,"1,443",95.2
Minnesota,,"5,379",17.2,730,92.9
Mississippi,,"2,985",20.8,404,92.9
Missouri,,"6,022",20.1,883,92.1
Montana,,"1,005",20.2,158,91.8
Nebraska,,"1,856",17.1,257,91.6
Nevada,,"2,759",16.0,361,87.7
New Hampshire,,"1,321",20.5,194,96.1
New Jersey,,"8,865",17.2,"1,251",90.6
New Mexico,,"2,086",18.3,295,87.6
New York,,"19,570",17.3,"2,758",87.5
North Carolina,,"9,752",19.1,"1,348",92.4
North Dakota,,700,17.5,101,92.0
Ohio,,"11,544",19.1,"1,705",90.2
Oklahoma,,"3,815",19.1,534,92.0
Oregon,,"3,899",19.4,582,93.6
Pennsylvania,,"12,764",20.8,"2,043",92.7
Rhode Island,,"1,050",20.1,159,93.1
South Carolina,,"4,724",20.9,695,93.5
South Dakota,,833,19.1,122,97.7
Tennessee,,"6,456",20.5,919,93.6
Texas,,"26,059",14.0,"2,839",88.3
Utah,,"2,855",12.2,271,90.2
Vermont,,626,21.7,98,95.8
Virginia,,"8,186",16.5,"1,063",89.4
Washington,,"6,897",16.9,908,91.6
West Virginia,,"1,855",24.6,312,91.5
Wisconsin,,"5,726",19.4,825,95.8
Wyoming,,576,16.7,76,92.1
,,,,,
,,,,,
"SOURCES: Social Security Administration, Master Beneficiary Record, 100 percent data; Census Bureau, Population Division, 2012 estimates of resident population.",,,,,
a.,"Population estimates for the United States as of July 1, 2012, as reported by the Census Bureau.",,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,
,,,,,
"File available from:
U.S. Social Security Administration • Office of Retirement and Disability Policy • Office of Research, Evaluation, and Statistics
OASDI Beneficiaries by State and County, 2012
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2012/",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
