"Table 2.
Number of beneficiaries with benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2005",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers a,Spouses,Children,Widow(er)s b,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"48,434,281","30,460,839","2,526,459","488,425","4,749,379","1,903,477","6,518,989","153,800","1,632,913","14,393,511","19,625,533"
Alabama,,,"903,569","492,491","41,875","9,553","97,546","42,805","169,639","4,331","45,329","229,301","332,364"
Alaska,,,"64,843","38,643","2,692","1,283","5,115","4,772","9,599",244,"2,495","19,531","20,605"
Arizona,,,"922,932","602,398","46,632","8,062","76,922","33,579","122,290","2,398","30,651","289,918","359,586"
Arkansas,,,"566,219","321,160","25,110","5,389","56,799","23,960","104,020","2,518","27,263","151,453","208,259"
California,,,"4,463,873","2,875,626","266,260","54,876","401,690","171,539","551,428","11,909","130,545","1,414,273","1,817,498"
Colorado,,,"584,556","378,990","34,155","4,682","54,732","21,857","72,396","1,294","16,450","184,298","237,151"
Connecticut,,,"585,199","407,045","23,068","5,469","47,901","19,702","64,734",915,"16,365","182,419","259,615"
Delaware,,,"150,101","97,950","6,298","1,228","12,846","5,573","20,664",290,"5,252","44,764","59,691"
District of Columbia,,,"71,376","46,064","2,108",827,"6,516","4,451","9,722",53,"1,635","20,538","30,739"
Florida,,,"3,430,205","2,331,733","167,831","32,194","293,430","107,866","396,450","8,271","92,430","1,106,783","1,418,824"
Georgia,,,"1,233,238","736,664","49,590","12,825","119,680","64,473","197,015","3,942","49,049","326,913","472,044"
Hawaii,,,"200,743","143,424","8,803","3,089","15,735","6,418","18,514",389,"4,371","66,245","86,352"
Idaho,,,"226,250","144,936","13,041","2,108","20,389","8,196","29,291",721,"7,568","71,346","87,002"
Illinois,,,"1,893,055","1,227,354","92,562","20,478","192,211","77,861","221,861","4,359","56,369","568,532","804,245"
Indiana,,,"1,063,854","672,315","51,341","9,021","106,184","42,907","141,821","3,054","37,211","305,909","436,186"
Iowa,,,"552,294","365,387","32,655","3,945","58,301","17,298","59,460","1,059","14,189","172,521","244,378"
Kansas,,,"452,119","296,145","23,306","3,594","44,903","16,747","53,507",890,"13,027","138,781","194,307"
Kentucky,,,"797,660","415,727","43,164","6,762","91,329","32,741","160,122","5,782","42,033","203,920","285,774"
Louisiana,,,"715,127","368,496","50,996","8,698","99,457","41,117","108,767","4,840","32,756","193,954","268,423"
Maine,,,"270,706","163,965","12,815","2,028","24,111","8,209","46,155",939,"12,484","78,007","104,126"
Maryland,,,"771,357","508,682","34,274","7,152","72,922","35,788","90,608","1,173","20,758","231,781","327,580"
Massachusetts,,,"1,066,962","693,001","44,096","9,413","91,158","34,044","152,027","2,172","41,051","315,969","455,486"
Michigan,,,"1,748,668","1,083,034","93,340","18,098","175,133","71,798","239,170","5,422","62,673","503,897","696,109"
Minnesota,,,"787,377","526,639","42,373","6,024","74,473","25,308","89,801","1,228","21,531","247,277","335,723"
Mississippi,,,"549,376","292,620","21,461","6,988","55,890","31,085","106,614","2,918","31,800","133,810","194,943"
Missouri,,,"1,063,174","653,609","49,344","8,654","103,619","42,880","161,203","3,229","40,636","302,340","422,581"
Montana,,,"169,375","109,049","9,993","1,676","16,973","6,254","20,526",494,"4,410","54,106","66,868"
Nebraska,,,"291,980","191,931","16,569","2,232","29,668","9,772","32,804",544,"8,460","91,066","128,063"
Nevada,,,"346,345","234,284","14,134","3,278","26,354","12,485","45,203",698,"9,909","115,782","128,160"
New Hampshire,,,"220,796","145,126","8,379","1,565","16,792","6,740","31,971",495,"9,728","66,460","87,651"
New Jersey,,,"1,375,796","942,992","54,961","13,244","120,645","48,408","153,624","2,985","38,937","420,843","606,093"
New Mexico,,,"311,468","186,639","19,386","3,521","30,070","14,423","45,209","1,344","10,876","93,531","117,080"
New York,,,"3,062,046","1,991,618","136,706","36,668","269,766","109,046","403,342","9,561","105,339","896,370","1,286,907"
North Carolina,,,"1,509,687","940,891","53,644","12,450","130,132","60,670","249,761","4,309","57,830","410,461","588,977"
North Dakota,,,"114,712","72,329","9,146",877,"14,936","3,936","10,929",194,"2,365","37,307","50,996"
Ohio,,,"1,960,946","1,207,381","125,823","17,315","231,537","74,591","241,961","5,379","56,959","588,040","825,679"
Oklahoma,,,"635,619","388,090","33,173","5,555","67,407","26,993","90,903","2,350","21,148","184,189","252,475"
Oregon,,,"618,624","414,216","32,426","5,425","55,964","18,909","75,372","1,678","14,634","195,316","252,207"
Pennsylvania,,,"2,419,005","1,561,281","123,745","19,768","257,394","82,216","292,978","7,184","74,439","719,224","1,045,340"
Rhode Island,,,"192,829","128,395","5,962","1,552","14,799","5,780","28,824",428,"7,089","55,725","82,675"
South Carolina,,,"778,480","471,731","28,480","7,340","70,451","35,423","131,038","2,465","31,552","208,894","293,581"
South Dakota,,,"140,773","92,131","9,138","1,068","15,259","5,120","14,419",263,"3,375","45,831","60,812"
Tennessee,,,"1,089,649","641,443","49,681","10,031","110,307","48,383","181,735","4,471","43,598","293,242","416,392"
Texas,,,"2,952,230","1,758,929","189,981","32,607","333,251","142,100","383,487","11,790","100,085","877,494","1,156,561"
Utah,,,"273,045","177,447","17,335","3,132","22,847","13,342","29,729",677,"8,536","86,763","108,844"
Vermont,,,"112,251","72,248","5,172","1,091","10,008","3,592","15,834",287,"4,019","33,799","44,797"
Virginia,,,"1,139,748","710,014","53,155","10,336","109,437","45,241","165,963","4,109","41,493","326,567","457,752"
Washington,,,"937,531","613,620","50,913","8,548","82,390","30,828","123,159","2,222","25,851","292,501","376,202"
West Virginia,,,"414,053","210,421","27,478","3,980","53,333","15,859","79,524","4,034","19,424","108,582","151,203"
Wisconsin,,,"953,581","639,221","45,896","8,114","89,370","31,812","110,353","1,858","26,957","294,553","403,126"
Wyoming,,,"81,495","53,912","4,402",623,"7,634","3,060","9,574",202,"2,088","26,504","32,162"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"5,422","1,559",200,401,576,895,"1,083",53,655,902,978
,Guam,,"12,106","6,389","1,055",560,"1,139","1,190","1,140",60,573,"3,652","3,670"
,"Northern Mariana
   Islands",,"2,227",892,140,252,280,405,182,8,68,538,466
,Puerto Rico,,"714,855","336,179","56,150","14,467","81,126","38,025","137,304","8,618","42,986","184,855","228,243"
,Virgin Islands,,"15,995","10,383",868,426,"1,220",960,"1,589",62,487,"4,900","5,676"
Foreign countries,,,"446,745","265,984","63,176","7,883","79,320","14,042","12,587",637,"3,116","171,032","206,300"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,Includes special age-72 beneficiaries.,,,,,,,,,,,,
b.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Policy
OASDI Beneficiaries by State and County, 2005
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2005/",,,,,,,,,,,,,
