"Table 1.
Beneficiaries as a percentage of the total resident population and of the population aged 65 or older,
by state, December 2006",,,,,,
State,,Total population,,Population aged 65 or older,,
,,"Number a
(thousands)","Percentage receiving
benefits","Number a
(thousands)","Percentage receiving
benefits",
,United States,"299,398",16.2,"37,260",91.4,
Alabama,,"4,599",20.2,616,94.4,
Alaska,,670,10.1,46,94.9,
Arizona,,"6,166",15.8,790,87.5,
Arkansas,,"2,811",20.8,390,95.2,
California,,"36,458",12.5,"3,932",84.3,
Colorado,,"4,753",12.9,477,93.2,
Connecticut,,"3,505",16.7,470,93.3,
Delaware,,853,18.2,115,95.6,
District of Columbia,,582,12.9,71,75.7,
Florida,,"18,090",19.4,"3,038",84.8,
Georgia,,"9,364",14.0,913,94.8,
Hawaii,,"1,285",16.0,179,88.7,
Idaho,,"1,466",16.4,169,99.6,
Illinois,,"12,832",14.9,"1,534",90.2,
Indiana,,"6,314",17.2,784,96.7,
Iowa,,"2,982",18.7,436,96.3,
Kansas,,"2,764",16.6,358,93.7,
Kentucky,,"4,206",19.5,537,94.7,
Louisiana,,"4,288",16.0,523,87.4,
Maine,,"1,322",20.8,193,96.0,
Maryland,,"5,616",13.9,651,87.7,
Massachusetts,,"6,437",16.8,856,90.5,
Michigan,,"10,096",17.5,"1,261",96.5,
Minnesota,,"5,167",15.6,627,95.0,
Mississippi,,"2,911",19.0,362,92.8,
Missouri,,"5,843",18.6,779,94.9,
Montana,,945,18.5,131,95.9,
Nebraska,,"1,768",16.7,235,94.4,
Nevada,,"2,496",14.7,277,91.7,
New Hampshire,,"1,315",17.3,163,96.2,
New Jersey,,"8,725",15.8,"1,128",91.3,
New Mexico,,"1,955",16.6,243,91.9,
New York,,"19,306",16.0,"2,523",87.1,
North Carolina,,"8,857",17.9,"1,077",97.5,
North Dakota,,636,18.1,93,94.5,
Ohio,,"11,478",17.2,"1,532",93.0,
Oklahoma,,"3,579",18.2,474,94.4,
Oregon,,"3,701",17.3,478,97.0,
Pennsylvania,,"12,441",19.6,"1,885",93.5,
Rhode Island,,"1,068",17.9,148,92.3,
South Carolina,,"4,321",18.8,553,97.0,
South Dakota,,782,18.4,111,97.6,
Tennessee,,"6,039",18.7,769,97.0,
Texas,,"23,508",13.2,"2,334",91.7,
Utah,,"2,550",11.4,226,93.0,
Vermont,,624,18.4,83,97.7,
Virginia,,"7,643",15.3,888,92.4,
Washington,,"6,396",15.3,738,94.9,
West Virginia,,"1,818",23.1,279,94.2,
Wisconsin,,"5,557",17.5,724,97.7,
Wyoming,,515,16.2,63,96.1,
,,,,,,
,,,,,,
"SOURCES:  Social Security Administration, Master Beneficiary Record, 100 percent data; U.S. Census Bureau, Population Division, 2006 estimates of resident population.",,,,,,
a.,"Population estimates for the United States as of July 1, 2006, as reported by the U.S. Census Bureau.",,,,,
CONTACT:  Jennie Park (410) 965-9358 or oasdi.sc@ssa.gov.,,,,,,
,,,,,,
"File available from:
U.S. Social Security Administration, Office of Policy
OASDI Beneficiaries by State and County, 2006
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2006/",,,,,,
