"Table 1.
Beneficiaries as a percentage of the total resident population and of the population aged 65 or older,
by state, December 2004",,,,,
State,,Total population,,Population aged 65 or older,
,,"Number a
(thousands)","Percentage receiving
benefits","Number a
(thousands)","Percentage receiving
benefits"
,United States,"293,655",15.8,"36,294",90.7
Alabama,,"4,530",19.5,598,92.6
Alaska,,655,9.6,42,92.5
Arizona,,"5,744",15.5,732,86.3
Arkansas,,"2,753",20.1,381,93.1
California,,"35,894",12.3,"3,823",83.9
Colorado,,"4,601",12.4,451,91.3
Connecticut,,"3,504",16.7,474,93.6
Delaware,,830,17.6,109,93.8
District of Columbia,,554,13.0,67,77.3
Florida,,"17,397",19.5,"2,928",85.6
Georgia,,"8,829",13.5,847,91.5
Hawaii,,"1,263",15.6,172,87.5
Idaho,,"1,393",15.7,159,96.8
Illinois,,"12,714",14.8,"1,521",90.2
Indiana,,"6,238",16.8,772,95.2
Iowa,,"2,954",18.6,433,96.1
Kansas,,"2,736",16.4,355,93.7
Kentucky,,"4,146",18.9,519,92.9
Louisiana,,"4,516",16.4,528,90.3
Maine,,"1,317",20.2,190,95.3
Maryland,,"5,558",13.7,635,87.4
Massachusetts,,"6,417",16.6,854,90.7
Michigan,,"10,113",17.0,"1,247",95.6
Minnesota,,"5,101",15.2,615,93.8
Mississippi,,"2,903",18.7,353,92.5
Missouri,,"5,755",18.2,766,93.9
Montana,,927,17.9,127,93.9
Nebraska,,"1,747",16.6,232,94.3
Nevada,,"2,335",14.5,262,91.0
New Hampshire,,"1,300",16.6,157,96.9
New Jersey,,"8,699",15.7,"1,126",91.3
New Mexico,,"1,903",15.9,229,89.6
New York,,"19,227",15.8,"2,493",87.7
North Carolina,,"8,541",17.2,"1,032",94.7
North Dakota,,634,18.0,93,94.9
Ohio,,"11,459",17.0,"1,525",92.6
Oklahoma,,"3,524",17.7,464,93.1
Oregon,,"3,595",16.8,460,95.5
Pennsylvania,,"12,406",19.3,"1,897",93.3
Rhode Island,,"1,081",17.8,151,92.7
South Carolina,,"4,198",18.0,520,93.8
South Dakota,,771,18.0,109,96.5
Tennessee,,"5,901",18.0,738,94.2
Texas,,"22,490",12.7,"2,217",89.7
Utah,,"2,389",11.0,208,91.5
Vermont,,621,17.7,81,95.9
Virginia,,"7,460",14.9,847,91.1
Washington,,"6,204",14.7,703,93.2
West Virginia,,"1,815",22.6,278,92.9
Wisconsin,,"5,509",17.1,716,96.8
Wyoming,,507,15.8,61,94.5
,,,,,
,,,,,
"SOURCES:  Social Security Administration, Master Beneficiary Record, 100 percent data; U.S. Census Bureau, Population Division, 2004 estimates of resident population.",,,,,
a.,"Population estimates for the United States as of July 1, 2004, as reported by the U.S. Census Bureau.",,,,
,,,,,
"File available from:
Social Security Administration, Office of Policy
OASDI Beneficiaries by State and County, 2004
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2004/",,,,,
