"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of
beneficiaries aged 65 or older, December 2005 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers a,Spouses,Children,Widow(er)s b,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"44,351,668","30,521,816","1,260,857","240,777","4,470,918","1,249,328","6,114,705","37,865","455,402","16,267,962","16,774,790"
Alabama,,,"777,620","473,244","20,812","4,709","84,212","26,498","154,717","1,060","12,368","250,851","269,547"
Alaska,,,"56,045","37,129","1,255",520,"4,511","3,041","8,876",50,663,"21,074","16,793"
Arizona,,,"867,777","615,832","23,990","3,932","74,894","21,473","118,660",614,"8,381","334,439","311,890"
Arkansas,,,"477,545","300,465","11,762","2,528","47,904","14,382","92,750",584,"7,169","160,501","165,077"
California,,,"4,115,426","2,886,025","130,389","26,144","389,333","114,393","528,314","2,933","37,894","1,578,636","1,569,168"
Colorado,,,"532,857","372,939","17,347","2,417","52,548","15,046","67,502",326,"4,731","206,577","196,128"
Connecticut,,,"595,943","445,950","13,206","3,109","50,650","14,731","63,176",225,"4,898","228,816","247,162"
Delaware,,,"146,486","103,540","3,501",677,"12,981","3,837","20,326",71,"1,553","53,896","53,920"
District of Columbia,,,"57,223","39,824","1,008",356,"5,124","2,334","8,145",13,419,"19,496","24,038"
Florida,,,"3,178,953","2,325,523","84,688","15,423","283,486","69,454","372,089","2,052","26,237","1,247,501","1,214,943"
Georgia,,,"1,092,338","717,923","25,239","6,327","105,496","40,692","182,022",922,"13,716","365,160","392,206"
Hawaii,,,"185,730","142,066","4,076","1,457","14,490","4,346","17,938",97,"1,259","71,556","75,344"
Idaho,,,"203,446","141,849","6,601","1,056","19,548","5,486","26,813",170,"1,925","79,714","71,226"
Illinois,,,"1,815,500","1,277,133","49,237","10,424","193,906","53,519","213,759","1,133","16,389","672,348","724,461"
Indiana,,,"1,021,925","708,538","27,928","5,018","106,626","29,634","133,228",800,"10,155","368,562","392,595"
Iowa,,,"510,152","365,114","16,611","2,111","57,126","11,888","53,340",247,"3,714","196,603","207,063"
Kansas,,,"426,598","303,513","12,353","1,919","44,906","11,321","48,794",222,"3,569","162,441","170,448"
Kentucky,,,"676,681","394,331","20,365","3,217","78,230","20,335","147,397","1,470","11,336","217,582","226,242"
Louisiana,,,"597,785","345,543","24,674","3,957","86,361","24,744","102,437","1,266","8,801","207,274","205,788"
Maine,,,"229,781","152,034","6,249",988,"21,840","5,447","39,897",208,"3,119","82,664","82,137"
Maryland,,,"726,689","516,057","18,020","3,762","70,674","23,968","87,595",316,"6,297","265,265","288,790"
Massachusetts,,,"993,875","698,654","23,236","4,813","89,902","24,205","140,970",492,"11,603","365,178","398,247"
Michigan,,,"1,717,188","1,169,604","51,456","9,975","178,490","50,523","237,688","1,483","17,970","617,644","634,726"
Minnesota,,,"733,954","529,407","21,514","3,220","72,525","17,844","83,233",296,"5,915","282,647","284,279"
Mississippi,,,"450,024","270,146","10,166","3,176","45,469","18,126","94,057",645,"8,239","140,302","153,041"
Missouri,,,"958,344","644,883","24,911","4,454","97,395","27,538","147,408",784,"10,970","340,439","356,834"
Montana,,,"149,740","104,191","4,872",803,"16,007","3,945","18,615",117,"1,191","58,481","54,191"
Nebraska,,,"265,456","189,273","8,339","1,168","28,853","6,504","29,011",122,"2,187","102,642","107,566"
Nevada,,,"327,918","236,720","7,191","1,641","25,735","8,540","45,003",194,"2,894","130,757","111,867"
New Hampshire,,,"209,767","149,387","4,567",888,"16,796","4,994","30,338",105,"2,693","78,792","77,175"
New Jersey,,,"1,411,465","1,042,241","29,908","7,348","125,308","35,875","157,212",777,"12,796","527,605","582,920"
New Mexico,,,"263,797","174,779","8,939","1,527","26,240","8,263","40,877",318,"2,855","97,878","91,671"
New York,,,"2,972,348","2,107,124","70,606","18,724","267,478","76,172","398,776","2,379","31,089","1,060,511","1,188,540"
North Carolina,,,"1,357,374","924,950","27,209","6,353","113,744","38,630","229,319",979,"16,190","458,594","497,297"
North Dakota,,,"98,652","67,510","4,293",432,"13,704","2,542","9,495",44,631,"39,319","39,615"
Ohio,,,"1,815,206","1,224,923","65,606","9,086","226,613","49,979","222,132","1,477","15,390","681,152","702,738"
Oklahoma,,,"560,149","373,341","16,208","2,729","61,200","16,996","83,434",565,"5,678","199,980","208,116"
Oregon,,,"582,636","418,884","16,827","2,814","55,468","12,950","71,050",431,"4,212","223,543","218,448"
Pennsylvania,,,"2,299,401","1,610,086","66,007","10,567","255,642","56,266","278,454","1,797","20,582","847,765","922,481"
Rhode Island,,,"179,181","128,783","3,088",780,"14,373","3,968","26,164",98,"1,928","64,124","72,702"
South Carolina,,,"697,058","463,362","14,593","3,730","61,030","22,309","122,319",591,"9,124","234,864","245,133"
South Dakota,,,"120,046","85,217","4,244",484,"13,660","3,113","12,424",56,848,"47,843","47,088"
Tennessee,,,"960,947","626,557","25,120","4,998","97,344","30,057","164,000","1,053","11,818","325,749","345,813"
Texas,,,"2,599,736","1,713,807","92,327","14,831","303,995","89,541","355,237","2,847","27,150","967,025","942,287"
Utah,,,"251,829","179,136","9,268","1,569","22,768","9,023","27,585",166,"2,315","101,158","90,971"
Vermont,,,"102,177","71,940","2,614",562,"9,478","2,455","13,990",65,"1,072","38,146","38,040"
Virginia,,,"1,033,994","701,819","26,949","5,319","99,654","30,287","156,802","1,055","12,109","365,763","385,843"
Washington,,,"901,609","639,363","27,324","4,586","83,260","21,617","117,207",603,"7,650","345,150","332,752"
West Virginia,,,"367,079","208,225","13,602","1,944","48,252","10,126","78,315","1,113","5,502","120,050","123,865"
Wisconsin,,,"908,664","657,574","24,106","4,452","89,371","22,240","103,131",448,"7,342","345,227","353,207"
Wyoming,,,"75,529","53,830","2,275",320,"7,466","2,082","8,919",52,585,"30,173","26,942"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"2,782","1,010",57,120,315,375,775,9,121,641,527
,Guam,,"7,167","4,305",321,170,729,578,931,12,121,"2,677","2,010"
,"Northern Mariana
   Islands",,985,511,33,55,111,153,109,1,11,339,197
,Puerto Rico,,"431,253","224,782","17,569","4,448","47,099","16,584","109,998","1,731","9,041","132,568","124,624"
,Virgin Islands,,"12,582","8,984",344,181,916,531,"1,486",17,122,"4,585","4,202"
Foreign countries,,,"239,232","151,926","15,857","2,459","49,679","7,828","10,458",163,861,"97,694","103,864"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,Includes special age-72 beneficiaries.,,,,,,,,,,,,
b.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Policy
OASDI Beneficiaries by State and County, 2005
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2005/",,,,,,,,,,,,,
