"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of
beneficiaries aged 65 or older, December 2008 (in thousands of dollars)",,,,,,,,,,,,,
State or area,,,Total,Retirement,,,Survivors,,Disability,,,Aged 65 or older,
,,,,Retired workers,Spouses,Children,Widow(er)s a,Children,Disabled workers,Spouses,Children,Men,Women
,,All areas,"53,666,109","37,207,910","1,347,716","298,072","4,908,428","1,427,099","7,895,536","44,030","537,318","20,082,112","20,159,722"
Alabama,,,"951,795","583,174","22,387","5,669","92,447","30,495","201,747","1,199","14,677","314,979","326,101"
Alaska,,,"71,226","48,253","1,410",645,"5,179","3,328","11,560",62,789,"27,982","21,710"
Arizona,,,"1,072,700","774,181","25,995","5,033","85,016","25,223","147,098",709,"9,445","423,744","390,644"
Arkansas,,,"587,570","369,610","12,313","3,148","52,221","16,765","123,989",675,"8,850","200,841","200,339"
California,,,"4,947,266","3,502,224","140,898","32,446","426,669","128,486","669,579","3,434","43,530","1,923,729","1,880,202"
Colorado,,,"671,777","477,213","18,771","3,276","59,210","17,594","89,688",379,"5,645","266,161","246,185"
Connecticut,,,"701,732","526,166","13,771","3,798","54,757","16,626","80,441",262,"5,910","274,772","289,138"
Delaware,,,"182,835","131,013","3,723",800,"14,514","4,470","26,498",82,"1,735","68,951","67,896"
District of Columbia,,,"67,272","46,926","1,011",407,"5,296","2,477","10,620",16,518,"23,126","27,816"
Florida,,,"3,791,084","2,799,667","89,527","18,834","309,835","78,039","463,789","2,236","29,156","1,511,426","1,456,519"
Georgia,,,"1,389,721","933,026","28,323","8,381","120,948","47,458","234,353","1,078","16,153","482,957","497,742"
Hawaii,,,"227,489","175,688","4,298","1,802","16,523","4,890","22,742",113,"1,433","87,711","92,595"
Idaho,,,"256,999","181,163","7,180","1,361","22,355","6,399","35,940",226,"2,377","103,279","89,486"
Illinois,,,"2,139,985","1,514,523","51,766","12,650","207,586","59,956","273,191","1,331","18,980","810,765","844,943"
Indiana,,,"1,238,360","861,308","29,567","6,319","117,411","34,700","175,933",925,"12,197","454,970","469,227"
Iowa,,,"599,606","434,970","16,281","2,669","60,850","13,907","66,471",279,"4,180","235,903","240,701"
Kansas,,,"504,138","360,731","12,238","2,391","47,828","12,839","63,598",247,"4,266","194,235","198,901"
